书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
满地空余泪人心,签约作品,异界大陆,3,33,6947,96882,0,0,33,96884,2
我老婆活了一万年,签约作品,都市异能,113,172,11889,82700,0,0,216,145314,7
网游之极恶刀客,签约作品,虚拟网游,13,17,30665,30665,0,0,1025,33681,1
艾英大陆,专属作品,异界大陆,10,10,23747,23747,0,0,10,23747,2
到了异界绝不放弃,驻站作品,异界大陆,4,4,3058,3058,0,0,4,3058,1
日和月,驻站作品,东方玄幻,3,10,2229,10230,0,0,10,10230,2
重生之首富传奇,签约作品,都市重生,27,96,14625,79068,0,0,96,79068,14
三界幻术,驻站作品,异界大陆,6,10,9338,15472,0,0,10,15472,3
魔法世界没有爱情,授权作品,魔法校园,9,15,8112,15962,0,0,15,16024,6
95后风水师,签约作品,都市异能,156,1663,12085,149197,0,0,1709,252111,43
好儿传,专属作品,传统武侠,14,14,9199,9199,0,0,14,9249,1
史上最强驸马爷,签约作品,东方玄幻,6,54,4329,42950,10,40,111,62160,1
战帝之傲视九重天,签约作品,东方玄幻,89,1468,15307,120354,267,2534,5802,334762,73
九界惊变幻,驻站作品,东方玄幻,0,7,2189,30165,0,0,68,281659,目前在拼命写作中
王者荣耀之神级奶爸,签约作品,电子竞技,18,189,4383,71085,12,34,1348,229270,4
我只是个炊事兵,签约作品,都市异能,30,477,24203,212431,9,29,879,412682,71
大汉伟业,驻站作品,架空历史,2,18,5959,20566,0,0,56,23741,2
末年悲语,驻站作品,未来幻想,2,11,10157,35389,0,0,11,35389,10
一拳修仙,驻站作品,古典仙侠,60,102,10871,22667,6,6,102,22651,5
三国之无敌熊孩子,签约作品,历史穿越,132,1023,24317,215209,7,173,1319,308656,45
绿囚,专属作品,进化变异,5,5,6843,6843,0,0,5,4547,3
秉云录,驻站作品,异术超能,73,282,12811,77406,4,47,282,33860,11
空姐的神医保镖,签约作品,都市异能,825,6151,6162,49683,65,537,389324,2556517,7
直播：我在乡村的悠闲生活,驻站作品,都市生活,33,109,6076,18600,0,0,109,18600,6
英雄罪美人泪,驻站作品,东方玄幻,1,29,3305,27635,0,8,48,43434,1
绝地求生之加点成神,签约作品,电子竞技,504,5143,18647,125998,0,7,9005,526027,13
我有一亩仙田,签约作品,都市异能,22,143,27124,178505,0,1,143,178505,24
都市：开局我有无数分身,签约作品,都市生活,7,80,2080,35877,0,1,127,75572,3
圣手小村医,签约作品,乡村乡土,7,71,2345,2345,0,0,4585,262197,1
非人INHUMAN,驻站作品,宅系小说,2,2,2821,2821,0,0,33,14165,1
鲤姶志,授权作品,东方玄幻,176,181,4153,4153,0,0,2022,51030,1
大明：开局我就被围,签约作品,架空历史,74,558,18063,149245,0,0,3650,744730,59
从一条狗吞噬进化,签约作品,异界大陆,34,539,12368,108279,42,168,1961,335640,26
成神：从霉运当头开始,签约作品,异界大陆,213,2655,16294,101964,266,979,6820,260937,86
末世全球降临我为王,驻站作品,末世危机,4,13,5074,24165,0,0,13,24673,1
谢邀！人在摆摊，已成神豪,签约作品,都市生活,31,144,10301,93304,0,0,176,125304,34
我偷吃了秦始皇的仙丹,签约作品,都市异能,11,117,6570,60574,0,0,431,168964,4
血魂祭,驻站作品,东方玄幻,6,14,59101,61933,0,0,10,3518,1
苍截记,驻站作品,末世危机,1,13,6121,24581,0,0,231,295595,3
无敌从疯狂氪金开始,签约作品,异界大陆,24,175,4252,30026,0,52,4288,399687,1
存亡日记,驻站作品,末世危机,6,6,4738,4738,0,0,6,4738,2
重生之灵界危机,专属作品,异世争霸,11,57,5142,37286,7,30,68,49941,5
新江风云录夜与月,驻站作品,都市激战,8,115,7105,59007,8,10,115,59865,1
三界主宰,签约作品,异界大陆,312,2630,6499,76980,29,136,297691,3368449,14
太上剑帝,签约作品,东方玄幻,56,339,24228,210726,7,28,4635,568078,93
沧云神录,驻站作品,异世争霸,7,7,34823,34823,0,0,7,34823,1
平凡人的末世,驻站作品,进化变异,7,7,4929,4929,0,0,0,4929,2
我的青梅竹马是天帝,签约作品,异界大陆,103,815,24263,211307,60,61,2289,447585,73
